Pais|Aceites y grasas|Acuícola y pesquero|Agroindustrial|Agroquímicos|Artesanías|Artículos de hogar oficina hoteles e industrial|Autopartes|Avícola|Azúcar|Banano|Bebidas|Bovino|Cacao y sus derivados|Café|Calzado|Comunicación gráfica y editorial|Cosméticos y productos de aseo|Couriers|Cuero y manufacturas de cuero|Cárnico|Derivados del café|Dotación hospitalaria|Envases/Empaques|Farmacéutico|Flores y plantas vivas|Frutas y hortalizas frescas y procesadas|Instrumentos y aparatos|Joyeria y Bisuteria|Lácteos y sus derivados|Material Promocional|Materiales de construcción|Metalmecánica|Muebles y maderas|Objetos de arte, antigüedades y menajes|Otros agrícola|Otros pecuario|Otros servicios|Papel y cartón|Plástico y caucho|Porcino|Químico|Textiles y Confecciones|Vehículos y otros medios de transporte
Armenia|0.14628688|0.10965392|0.078978226|0.50523162|0.14633544|0.097798407|0.081253111|0.13246858|0.13785571|0.11839285|0.09862604|0.14642407|0.20796853|0.25659001|0.17039737|0.22765514|0.12225762|0.18320201|0.087248228|0.1630107|0.078654543|0.10386889|0.68985236|0.080899633|0.11068328|0.19849029|0.07568635|0.13722701|0.14949659|0.47901589|0.074004754|0.061619796|0.11469574|0.093992412|0.10659841|0.11383057|0.18452689|0.083674595|0.071589656|0.34150726|0.075556159|0.060907282|0.088249668
Aruba|0.75497317|0.7798335|0.72624516|0.51368415|0.74913788|0.81427944|0.75845009|0.78246254|0.81825197|0.84580749|0.88500202|0.58106017|0.73970711|0.61230755|0.8141014|0.77518731|0.81410575|0.69170523|0.70711815|0.8180654|0.69342828|0.77289116|0.7821219|0.59780765|0.71303988|0.86707544|0.65114838|0.75115871|0.92306781|0.8448894|0.75767922|0.6944108|0.82210654|0.71745777|0.91799486|0.77215314|0.83073294|0.7788347|0.71286273|0.66193366|0.73197538|0.72177315|0.64353842
Australia|0.65011334|0.18112192|0.55900252|0.65531033|0.68052626|0.58104253|0.53742462|0.24204665|0.70579064|0.59326303|0.78218734|0.25220674|0.50349569|0.75907934|0.62772334|0.18842641|0.58397901|0.30273259|0.58105242|0.26618463|0.66333199|0.47329092|0.58228278|0.59446335|0.7272355|0.7258572|0.39249921|0.621512|0.16538818|0.80835557|0.414397|0.44354162|0.54371655|0.72464526|0.63612735|0.14160445|0.68860096|0.55458891|0.42149317|0.260903|0.59246969|0.46566147|0.58550256
Austria|0.59314489|0.60549819|0.60539424|0.61068934|0.52890766|0.42983705|0.7247858|0.31802994|0.16655877|0.53100348|0.37856746|0.24226825|0.40354308|0.52033168|0.25924158|0.32186428|0.21518561|0.38245732|0.5236147|0.35986042|0.50176805|0.33826438|0.41519645|0.26444143|0.61320573|0.50195074|0.59804219|0.71674758|0.20579696|0.55685526|0.44652849|0.55763572|0.35172465|0.68253064|0.27012783|0.189235|0.23142797|0.6133365|0.24979669|0.45812893|0.40049589|0.39424872|0.51725495
Azerbaiyán|0.13945325|0.10017663|0.070150673|0.11114277|0.13256741|0.089683257|0.48830202|0.12571895|0.21282366|0.11329655|0.1205401|0.13468851|0.094407067|0.10390617|0.1560429|0.099062763|0.11684319|0.17897925|0.081962928|0.14422759|0.071194872|0.12562297|0.10739115|0.58833998|0.54112029|0.111965|0.20860253|0.11975782|0.13901094|0.10073875|0.28094095|0.37778586|0.11081193|0.090091839|0.10111947|0.068457216|0.17905012|0.12262738|0.049546294|0.19481879|0.070977002|0.07683403|0.091251045
Bahamas|0.71292353|0.31780988|0.41962424|0.818295|0.63936013|0.62743145|0.61867559|0.46449795|0.82714957|0.34951898|0.41688839|0.50069594|0.25114498|0.41860181|0.7200315|0.16972911|0.69042015|0.5686999|0.67414695|0.57830852|0.29150757|0.55769008|0.63188243|0.6389975|0.55770582|0.36435509|0.72784221|0.70778608|0.52988511|0.3566134|0.70125675|0.55381626|0.6139431|0.40258199|0.38202727|0.38880444|0.50893599|0.40308213|0.5028435|0.53640157|0.6245296|0.70186013|0.64681137
Bahréin|0.067945331|0.043872535|0.39287978|0.041534379|0.064127609|0.52927017|0.035248302|0.05720884|0.66243589|0.4817068|0.050816268|0.060800463|0.51976353|0.54362822|0.084584773|0.27588934|0.065236516|0.08489956|0.026653294|0.0057119476|0.34685153|0.060816832|0.22431684|0.52327156|0.5641886|0.56951159|0.041975725|0.071559548|0.066035241|0.046041742|0.034328829|0.20593834|0.058481164|0.033105865|0.028437179|0.029435977|0.10156135|0.041503008|0.23720552|0.0053952215|0.31602687|0.45846424|0.039505433
Bangladesh|0.19527477|0.12985805|0.09757594|0.182391|0.123256|0.094508715|0.64088207|0.18285567|0.090251952|0.1562572|0.1662482|0.12125996|0.017243329|0.0|0.11173053|0.014926083|0.15670294|0.28767377|0.10533171|0.17381924|0.29487148|0.15108469|0.088522166|0.11961214|0.097504109|0.12651564|0.1107264|0.13088572|0.15242861|0.10927527|0.13105775|0.72100461|0.71954244|0.24539837|0.17517368|0.15938157|0.14798647|0.11953898|0.06773521|0.089382857|0.36781514|0.28925142|0.12499833
Barbados|0.5288707|0.35439098|0.6956861|0.75732625|0.66902018|0.78897721|0.81166637|0.46173179|0.77175355|0.3630622|0.55972439|0.46044695|0.66476172|0.25382113|0.73686731|0.7991513|0.68003833|0.64737213|0.68017447|0.42002481|0.6127007|0.65877259|0.76326585|0.73166597|0.24879193|0.6896044|0.72120202|0.39495581|0.46063286|0.6884591|0.73009205|0.64698684|0.67065465|0.46506476|0.4099938|0.41054833|0.53019589|0.78742039|0.69986534|0.44894049|0.67100704|0.71501017|0.67076421
Belice|0.33263803|0.25388202|0.57017833|0.64881194|0.30947328|0.69351798|0.55383456|0.35412991|0.56332546|0.25036427|0.3329899|0.34037203|0.71061099|0.22887528|0.59038776|0.54907995|0.64320087|0.44755083|0.24283262|0.407204|0.60096282|0.63394439|0.60141766|0.73690957|0.42629135|0.35301268|0.70376545|0.28597656|0.3834103|0.26412731|0.56476259|0.62561512|0.62836695|0.35467845|0.51562935|0.29209721|0.41837358|0.32513437|0.64908952|0.51304454|0.63990444|0.45464319|0.60117161
Benín|0.4262338|0.38248992|0.64578909|0.3811433|0.38120806|0.35024649|0.71795684|0.47754633|0.31765848|0.37611568|0.42807871|0.38415337|0.16704795|0.20222306|0.46612805|0.47474429|0.40734017|0.61048818|0.66003728|0.45741445|0.31603676|0.39577192|0.64791751|0.37670833|0.26212582|0.36035353|0.28904513|0.40953529|0.46414229|0.39546019|0.61879945|0.28002611|0.34775841|0.471549|0.5364731|0.39717409|0.54866731|0.44204217|0.328255|0.26741403|0.33851194|0.3018539|0.35720515
Bermudas|0.29122725|0.22793666|0.14969474|0.24436823|0.26076227|0.42001599|0.20528725|0.29970971|0.25494471|0.23812301|0.29988217|0.33690098|0.24800481|0.35052648|0.3161296|0.63410079|0.26820582|0.36552995|0.63412237|0.38964108|0.17179351|0.23144239|0.54775846|0.22412343|0.13719332|0.22353685|0.47325158|0.25608206|0.33611649|0.2152046|0.6617471|0.53824908|0.5632782|0.19655085|0.247412|0.25863716|0.34632626|0.25470784|0.15720952|0.60682988|0.18456253|0.37915552|0.25705296
Bielorrusia|0.19213308|0.15116611|0.10036966|0.1030174|0.19882932|0.12104997|0.10695812|0.17404033|0.20665053|0.59655559|0.19007289|0.26412454|0.25917876|0.32099548|0.22842604|0.28913325|0.17556426|0.25550359|0.12409684|0.23016749|0.11343683|0.13508461|0.12719899|0.17796545|0.62743932|0.4129627|0.093671143|0.20033604|0.2193276|0.15157741|0.084552571|0.076012686|0.55538869|0.12817839|0.15274453|0.17473917|0.26119232|0.1881803|0.082898378|0.28632408|0.053963579|0.092376612|0.14685935
Bolivia|0.70749104|0.61356127|0.70812726|0.79068679|0.78807151|0.83435404|0.81773031|0.63940912|0.46004596|0.52442932|0.81345248|0.53939348|0.77804053|0.41481262|0.86104524|0.84253901|0.82993603|0.80217522|0.72387952|0.64841777|0.69862902|0.87583452|0.75963533|0.8783406|0.58585382|0.65724528|0.81856835|0.89900029|0.53586972|0.77934885|0.76568025|0.79340398|0.79214001|0.74600017|0.75695133|0.74222994|0.85589814|0.83058375|0.85012591|0.64018577|0.87526983|0.79663706|0.86040783
Bosnia|0.3293469|0.27038988|0.20002054|0.26033813|0.26460317|0.19111674|0.19552642|0.32557026|0.60893816|0.25765955|0.26221648|0.29583794|0.23535587|0.19904464|0.19255577|0.14630437|0.265365|0.41566142|0.14985155|0.21491918|0.20870572|0.16882306|0.23050711|0.21338975|0.6792295|0.27654719|0.19150782|0.25965345|0.3435154|0.18531439|0.19031581|0.14066093|0.18112826|0.33225197|0.28911576|0.26762965|0.39751962|0.30967546|0.1491864|0.23067965|0.16485864|0.11348732|0.18812928
Botsuana|0.2722736|0.23137946|0.16471204|0.2217077|0.61321038|0.59471244|0.20931835|0.28983104|0.086469248|0.23194218|0.28284514|0.25807846|0.20299363|0.29774049|0.67899466|0.38263673|0.20093253|0.34120756|0.17939314|0.2825641|0.16228202|0.25246748|0.2484737|0.23466597|0.1306947|0.2337507|0.42599291|0.31126961|0.31654674|0.2272138|0.41824952|0.30204695|0.48624682|0.67838699|0.24458578|0.28039968|0.35631233|0.26733863|0.18823618|0.39315912|0.1922742|0.52855533|0.20174667
Brasil|1.0|0.68225044|0.60879165|0.88188016|0.8893497|0.8235805|0.74094558|0.50839937|0.34275824|0.49262851|0.66652656|0.56641662|0.49372217|0.38474676|0.72341812|0.7425018|0.70811057|0.77155411|0.75583822|0.57094115|0.63780582|0.79535973|0.69484293|0.77427393|0.71930784|0.67902488|0.77425015|0.67708719|0.55365026|0.79847968|0.72621465|0.84480947|0.64202011|0.78576195|0.72017115|0.89185727|0.60032308|0.83349335|1.0|0.6355679|0.88080108|0.69601572|0.62026876
Brunéi|0.14300498|0.11243887|0.094128087|0.093440682|0.16854045|0.45683217|0.57274657|0.1166966|0.17043576|0.10570621|0.17493697|0.13899918|0.15185103|0.091256|0.11494894|0.15962675|0.14029543|0.15313993|0.069383092|0.1944117|0.067019381|0.11896625|0.13616034|0.093006089|0.052833691|0.14424261|0.45663214|0.16805804|0.18384865|0.063941397|0.16502827|0.3508482|0.094678476|0.073582329|0.086047389|0.13777015|0.15791941|0.10321523|0.43703499|0.2075018|0.085600868|0.088737294|0.074163258
Bulgaria|0.23140964|0.65061295|0.34378731|0.54409069|0.45490497|0.49147213|0.13593507|0.22300652|0.62031883|0.33319271|0.19931595|0.1595521|0.24479482|0.51638347|0.20981686|0.40847826|0.15971181|0.29226393|0.49123907|0.27273515|0.55194008|0.16280618|0.15405697|0.14089869|0.55416697|0.47051167|0.10791834|0.27543017|0.2510877|0.50673306|0.11600997|0.29019013|0.42486948|0.25505421|0.13609521|0.23802428|0.20892766|0.22795428|0.402621|0.37218556|0.13209619|0.54594052|0.12035991
Burkina Faso|0.44613189|0.39662459|0.62096632|0.39006805|0.39534134|0.37288719|0.38035738|0.49728316|0.33192778|0.3876819|0.44259942|0.40161443|0.19236034|0.22445647|0.48092818|0.4862085|0.42165464|0.62492216|0.35941574|0.48001188|0.32992703|0.40743399|0.37533697|0.38531893|0.27322602|0.32153437|0.33633789|0.42923409|0.47571594|0.41007107|0.34135354|0.35815775|0.36472714|0.39809728|0.43330762|0.41687641|0.56390381|0.45411783|0.34508577|0.29236871|0.35036665|0.31604204|0.45578107
Burundi|0.23861682|0.17663276|0.14025491|0.22462048|0.19502431|0.15681492|0.19990881|0.23581818|0.049097992|0.20056736|0.20600834|0.27046666|0.12018663|0.064121172|0.28445467|0.34729853|0.17278257|0.33642405|0.16425475|0.20063379|0.14664234|0.25824326|0.14961657|0.2313215|0.11848405|0.15693279|0.17262824|0.16231048|0.15612324|0.19516687|0.17727642|0.64406121|0.19071691|0.16164902|0.2071591|0.14907044|0.33973938|0.23943384|0.19116345|0.17427418|0.19590881|0.12565656|0.19492163
Bután|0.16221371|0.12552066|0.082640328|0.1217566|0.18231578|0.11232772|0.11550681|0.15165281|0.11881533|0.1387662|0.090229392|0.16598339|0.069149442|0.071868062|0.17771336|0.20351794|0.1534957|0.19922513|0.097109243|0.22391252|0.091276646|0.14816758|0.12372701|0.096154019|0.069978692|0.14131244|0.082465865|0.15478252|0.17148972|0.120774|0.094055906|0.067152895|0.12806252|0.10485576|0.12371637|0.13359702|0.21581763|0.12876438|0.039420046|0.19136527|0.095715977|0.097415313|0.094111621
Bélgica|0.57147235|0.61712432|0.53653061|0.5839566|0.65362012|0.60862559|0.67421269|0.35073525|0.77564168|0.90183055|0.67531443|0.29221559|0.80762792|0.85170698|0.59725761|0.71057314|0.37832996|0.42263722|0.54542017|0.39274815|0.71753567|0.64774746|0.55225623|0.54191923|0.41915932|0.73113489|0.61015648|0.52696645|0.23342262|0.72886574|0.55861354|0.61188275|0.50234002|0.39429334|0.68481654|0.19532968|0.40411389|0.57902187|0.57941675|0.32234442|0.49628282|0.46158725|0.5103932
Cabo Verde|0.506199|0.32466912|0.67345041|0.41372341|0.35745484|0.49749237|0.35668048|0.54105848|0.72683144|0.45389399|0.3904064|0.47559616|0.42555341|0.32871008|0.46317381|0.5330534|0.43992811|0.64204359|0.36276099|0.55788338|0.33352074|0.47650522|0.45725691|0.39349774|0.28790081|0.43988264|0.32687724|0.390414|0.54962265|0.42383224|0.56137896|0.36740667|0.37894171|0.41698113|0.45343655|0.48640674|0.62690568|0.47400206|0.3805477|0.49551749|0.35735437|0.31274918|0.39757204
Camboya|0.22733855|0.17327639|0.45067197|0.20199323|0.16505235|0.13438693|0.1442674|0.22005169|0.18031782|0.18558764|0.22653767|0.23870288|0.15901288|0.54982126|0.16160697|0.16673264|0.23481162|0.29603431|0.50229263|0.25899699|0.13004208|0.2204634|0.14666083|0.52793634|0.10752188|0.53873181|0.13312133|0.18261938|0.25461444|0.1309568|0.13440701|0.11238678|0.15095246|0.17007072|0.20200573|0.21419719|0.30485874|0.5640018|0.13011687|0.21723203|0.12406926|0.36836916|0.11451384
Camerún|0.36595261|0.30742478|0.40594876|0.74998635|0.23904461|0.38552874|0.58924848|0.45802939|0.19730893|0.32195422|0.36836165|0.38815188|0.10454936|0.11798707|0.3977083|0.45055196|0.34212035|0.58747303|0.30458584|0.44332904|0.25907269|0.3621147|0.51786834|0.61846554|0.21553865|0.28651643|0.57006383|0.26929903|0.39979723|0.65425599|0.23976001|0.73258078|0.25493595|0.42744532|0.31297988|0.33546138|0.45162928|0.39184147|0.50704187|0.29823777|0.24949957|0.20222306|0.36008835
Canadá|0.72456408|0.7870872|0.62420225|0.72112215|0.62548554|0.5712378|0.69775832|0.19634461|0.78618276|0.6855579|0.73828536|0.60061955|0.62425864|0.87960857|0.69575453|0.66587943|0.6025117|0.45087862|0.74728537|0.20489033|0.73955524|0.61166352|0.67105234|0.64336771|0.79187548|0.73659474|0.68370754|0.60507077|0.70304817|0.7044276|0.60717237|0.56626159|0.62356883|0.74280012|0.82107878|0.74635053|0.28140974|0.59678566|0.54824835|0.52291083|0.59537143|0.74363041|0.57089961
Chad|0.33977768|0.27993739|0.2277267|0.31142288|0.25377855|0.26642331|0.24629849|0.43069422|0.16002464|0.29556388|0.32994902|0.34357077|0.086379334|0.094151996|0.36605158|0.41888672|0.31572777|0.54941183|0.27223381|0.39956284|0.23908828|0.32630351|0.32637858|0.28873861|0.19289911|0.25940275|0.66339612|0.23632619|0.39555705|0.28856808|0.26317519|0.52616072|0.27514946|0.28348947|0.3185623|0.30473611|0.41500932|0.38887101|0.49544728|0.24989223|0.2580232|0.21805134|0.27555954
Chile|0.8235321|0.72936094|0.84125185|0.85175133|0.77386272|0.87193418|0.87863076|0.53232259|0.94965553|0.77811015|0.86965322|0.94379997|0.90653008|0.74475503|0.86494422|0.93474638|0.97309911|0.76791382|0.75190711|0.76772529|0.84974456|0.92955816|0.87261224|0.88239193|0.80081886|0.76045465|0.83952546|0.94570899|0.76936644|0.85665596|0.76992786|0.83201039|0.85531902|0.80397999|0.83463371|0.64295495|0.96758181|0.77031404|0.86316681|0.55302709|0.83461225|0.85451186|0.78934717
China|0.67865598|0.64415693|0.24963945|0.55184937|0.32620516|0.34644973|0.41306043|0.68083179|0.46833682|0.60726988|0.51795685|0.72137344|0.44068527|0.7319296|0.43871495|0.10587286|0.39088655|0.1911177|0.40691885|0.11819616|0.7336539|0.5047586|0.44472799|0.45949501|0.63575041|0.47893137|0.329629|0.47906592|0.14527634|0.38241315|0.25906986|0.43121505|0.62039316|0.45475769|0.50542551|0.60301298|0.015965102|0.59188449|0.4317672|0.12276267|0.6061492|0.4283883|0.42591473
Chipre|0.21792628|0.48155105|0.12847289|0.18592736|0.47673699|0.40372327|0.14726171|0.20427629|0.10213242|0.50439334|0.25409478|0.13185625|0.27437019|0.59257501|0.27082008|0.28242564|0.22862342|0.26627487|0.26904181|0.24558908|0.37926579|0.15392902|0.20306629|0.1302619|0.46894008|0.53573573|0.31517774|0.56182998|0.22674233|0.17127988|0.57136416|0.3158747|0.51345783|0.24191342|0.18463519|0.2111052|0.28448406|0.14110081|0.16321805|0.32640743|0.11995759|0.43711233|0.16374597
Comoras|0.34623396|0.26369447|0.52837569|0.27389473|0.27766946|0.23032385|0.22185636|0.36231083|0.33977598|0.26847991|0.28619653|0.33398741|0.063653335|0.060965955|0.29670161|0.08869011|0.30570373|0.4542805|0.21417364|0.33255106|0.2054328|0.28664109|0.2389746|0.26153538|0.15027994|0.26240307|0.17852318|0.25327361|0.38679245|0.26830652|0.21975085|0.13605693|0.24791303|0.22892687|0.23510012|0.30755243|0.4113403|0.32206425|0.089382574|0.16707531|0.12871395|0.16762136|0.22392574
Congo|0.35987169|0.33494145|0.33078569|0.31509304|0.34888119|0.32665765|0.43882012|0.41872343|0.25861681|0.33659708|0.38724935|0.51774704|0.1327944|0.16893426|0.4270466|0.43238592|0.35950199|0.5404591|0.3184526|0.46627259|0.3851223|0.33020443|0.29779285|0.30437732|0.19901994|0.31199971|0.34618229|0.36418408|0.42948711|0.34338012|0.29675689|0.34793359|0.2879293|0.30870825|0.47874677|0.36490521|0.49069455|0.3777608|0.2686564|0.19850902|0.27518305|0.25437206|0.29742011
Corea del Sur|0.70112175|0.67787606|0.46137097|0.7440207|0.5668177|0.56246448|0.52890211|0.33539647|0.65369105|0.76466119|0.60752177|0.72424042|0.5706659|0.79595923|0.26690781|0.13921809|0.63552409|0.41276348|0.62974811|0.37207195|0.76560128|0.62515676|0.48769692|0.5719533|0.73393345|0.58909833|0.57450938|0.21262215|0.35930109|0.70122445|0.41122422|0.72394669|0.57050478|0.61126184|0.55177104|0.76342195|0.26752627|0.69773459|0.42868644|0.30393964|0.46227565|0.53537619|0.46201834
Costa Rica|0.77298701|0.65623039|0.86855984|0.8144182|0.85304093|0.88835073|0.79486775|0.59221935|0.67630112|0.73546439|0.88026559|0.57590747|0.8661536|0.52684486|0.92641366|0.88448834|0.90431845|0.71934783|0.78034979|0.54636669|0.75682306|0.72357553|0.86224973|0.84001297|0.61632901|0.85250509|0.7940371|0.81886971|0.73933178|0.86132288|0.77571225|0.74360657|0.7975105|0.69548458|0.80551493|0.82010698|0.92955732|0.91247851|0.83021128|0.56208748|0.92438436|0.894382|0.83531684
Costa de Marfil|0.45470661|0.30421761|0.68523431|0.69375765|0.54885483|0.53209609|0.70739555|0.51120687|0.69653666|0.39617532|0.45127979|0.78960633|0.45967677|0.49895841|0.49260792|0.63691741|0.58103365|0.6387499|0.37344426|0.49129063|0.34353316|0.58925879|0.60488963|0.36408955|0.28404632|0.39125383|0.6481778|0.45136529|0.49795228|0.5629971|0.62713766|0.72820073|0.47303766|0.5049696|0.44541395|0.44175807|0.57597709|0.72037345|0.61340398|0.79525614|0.63376975|0.56149024|0.66164994
Croacia|0.58477032|0.53323579|0.47446811|0.52969766|0.57085258|0.55747789|0.58614349|0.66032022|0.59275103|0.64309371|0.57391775|0.62512666|0.4727124|0.48938096|0.60620826|0.58954769|0.57570308|0.83701372|0.5176183|0.6726135|0.47406942|0.56983358|0.53349644|0.60826671|0.51082695|0.57258523|0.58283913|0.59142286|0.63142157|0.57627708|0.5267604|0.54897201|0.52060318|0.55645239|0.59228855|0.58195275|0.73519772|0.6065892|0.51071405|0.670775|0.5304696|0.53847992|0.53496426
Cuba|0.85044765|0.53622079|0.79044056|0.80914748|0.79617286|0.91057491|0.86144197|0.62511438|0.4477461|0.76178491|0.5964542|0.57268691|0.61557949|0.42695606|0.82861447|0.81820977|0.87624317|0.92198002|0.78485602|0.73521638|0.62836719|0.77680278|0.74206626|0.71599382|0.38920572|0.83532691|0.71813917|0.76044357|0.81964779|0.80490839|0.76166129|0.75390649|0.73282701|0.58026975|0.87902063|0.5347842|0.68159539|0.80548692|0.73551118|0.72639489|0.75833082|0.80475855|0.68358964
Dinamarca|0.20759657|0.51946801|0.29242492|0.49439478|0.55555683|0.60527134|0.49516654|0.18961631|0.34905544|0.69186854|0.40197122|0.26118603|0.28403068|0.71210372|0.29083052|0.37558597|0.40378973|0.39474592|0.54930311|0.22111005|0.66751659|0.50096166|0.43610126|0.53356749|0.21892637|0.66407049|0.55182481|0.33672538|0.21257958|0.16426927|0.45936334|0.45846808|0.41243935|0.25809911|0.57747459|0.64964199|0.38082707|0.20545872|0.33119202|0.28040931|0.39232457|0.20915529|0.55859131
Dominica|0.85686433|0.36725762|0.59449577|0.42899024|0.5960536|0.71080077|0.42956325|0.50016147|0.75959307|0.37306076|0.40649307|0.53630495|0.69427139|0.157506|0.76404124|0.57185245|0.63948852|0.66852617|0.77096283|0.57529533|0.7497617|0.682374|0.71908879|0.39972639|0.25915265|0.51681048|0.65807843|0.43929714|0.56125355|0.54104358|0.64908409|0.62267125|0.65624058|0.43042913|0.46389586|0.41963708|0.58433062|0.73691189|0.31218812|0.55018759|0.74637711|0.59013373|0.545488
