Pais|Aceites y grasas|Acuícola y pesquero|Agroindustrial|Agroquímicos|Artesanías|Artículos de hogar oficina hoteles e industrial|Autopartes|Avícola|Azúcar|Banano|Bebidas|Bovino|Cacao y sus derivados|Café|Calzado|Comunicación gráfica y editorial|Cosméticos y productos de aseo|Couriers|Cuero y manufacturas de cuero|Cárnico|Derivados del café|Dotación hospitalaria|Envases/Empaques|Farmacéutico|Flores y plantas vivas|Frutas y hortalizas frescas y procesadas|Instrumentos y aparatos|Joyeria y Bisuteria|Lácteos y sus derivados|Material Promocional|Materiales de construcción|Metalmecánica|Muebles y maderas|Objetos de arte, antigüedades y menajes|Otros agrícola|Otros pecuario|Otros servicios|Papel y cartón|Plástico y caucho|Porcino|Químico|Textiles y Confecciones|Vehículos y otros medios de transporte
Armenia|0.4168908|0.28738391|0.40743434|0.41040006|0.5513494|0.47806087|0.4176265|0.5702278|0.52435124|0.59849149|0.39451009|0.47912762|0.65717691|0.62781435|0.5552184|0.28626877|0.55108005|0.35517466|0.50768059|0.47083843|0.50159287|0.57213438|0.5080862|0.45050725|0.54536235|0.47844809|0.39152956|0.41318887|0.53921247|0.44144207|0.43699032|0.45167506|0.45224705|0.30036467|0.45200697|0.37283951|0.42712492|0.47738385|0.41314307|0.54158169|0.3613283|0.50879276|0.29304278
Aruba|0.59527218|0.79147333|0.9385525|0.55998695|0.83440888|0.75800663|0.53124219|0.94853854|0.83995682|0.85051358|0.88949901|0.96688759|0.63405395|0.6620791|0.71853793|0.7474218|0.70894754|0.82568687|0.75212348|0.99304658|0.76549578|0.70279592|0.74662983|0.57670116|0.70502782|0.88466346|0.52406454|0.76534158|0.90762299|0.74255562|0.79603314|0.47038546|0.78814816|0.65487444|0.55090261|0.75432229|0.65752077|0.55966032|0.48530281|0.89688039|0.54923534|0.66806948|0.56774926
Australia|0.61688387|0.71970177|0.927917|0.95659822|0.8838141|0.92336082|0.86716443|0.42621046|0.5990957|0.52710629|0.76978266|0.43050241|0.79478562|0.89111388|0.85996479|0.8516494|0.85618556|0.81816673|0.89665866|0.65990603|0.8374908|0.9540661|0.79809219|0.90112138|0.78886795|0.63135594|0.90092611|0.88392705|0.68760133|0.91381466|0.89529502|0.87939078|0.84775043|0.83226645|0.53238779|0.61211467|0.95881104|0.69028473|0.76226258|0.78639126|0.61826074|0.89081144|0.91621858
Austria|0.86645186|0.82491487|0.9010179|0.70570862|0.95616508|0.94051224|0.92375779|0.8746866|0.87180328|0.87229729|0.81193924|0.7421006|0.90726936|0.6899811|0.95698822|0.9041754|0.80912352|0.81241047|0.85565913|0.83333278|0.9205358|0.86266112|0.88026375|0.82596815|0.94703203|0.91885781|0.85649097|0.81601238|0.76925355|0.94215572|0.93689567|0.92095715|0.93250203|0.93559742|0.88799614|0.82427669|0.93003029|0.87710035|0.89361155|0.75523657|0.88804775|0.95924056|0.7892102
Azerbaiyán|0.76671875|0.62994564|0.7689414|0.71178055|0.82097304|0.79448402|0.72581995|0.8081274|0.91451836|0.73789686|0.70074487|0.75161493|0.83137923|0.59925079|0.74958825|0.53409052|0.83740532|0.91424465|0.65534818|0.82826996|0.67837799|0.68330544|0.77634025|0.73180699|0.87726343|0.68522453|0.69519317|0.7065053|0.9123621|0.64810026|0.84672642|0.81929594|0.8001771|0.59313214|0.80947137|0.77392209|0.6247983|0.6444943|0.65527439|0.60859859|0.65883934|0.71584284|0.76922381
Bahamas|0.22245362|0.31979704|0.40384668|0.22791857|0.45548034|0.39612997|0.28478378|0.71401882|0.3624953|0.43221244|0.51924348|0.52381128|0.27758253|0.25556561|0.28995514|0.37093115|0.33512735|0.32150012|0.35648948|0.55172843|0.35216105|0.27523533|0.34769315|0.27554405|0.52631956|0.47109902|0.26781043|0.47782302|0.45027882|0.38151175|0.6512655|0.30703408|0.56422722|0.65169698|0.16777717|0.53009498|0.33471751|0.27784422|0.21521685|0.57445967|0.38890821|0.23155135|0.69197428
Bahréin|0.71975672|0.66091919|0.73342001|0.36253166|0.77760893|0.70345032|0.64630771|0.90786338|0.86673188|0.740991|0.6924479|0.86567438|0.80729198|0.69655323|0.69021851|0.77887142|0.77775717|0.65486699|0.70737922|0.85529554|0.79807174|0.64265239|0.74246073|0.66278839|0.81558824|0.82731152|0.68801689|0.80085731|0.96127021|0.69171989|0.79099643|0.67741334|0.73211235|0.7234776|0.70548224|0.87519503|0.66949642|0.61853117|0.65831792|0.51283914|0.81748497|0.64481199|0.75526047
Bangladesh|0.48602962|0.15344803|0.21511817|0.49674338|0.098637737|0.23699838|0.25830966|0.2470347|0.36958358|0.10539621|0.073498979|0.24357173|0.18211851|0.20468226|0.18818854|0.18590899|0.211216|0.32495421|0.27316675|0.12990712|0.2025575|0.23533735|0.14596538|0.21272025|0.15772924|0.43533921|0.29902673|0.26179346|0.3526485|0.1821079|0.24074051|0.41913152|0.11233404|0.16968375|0.54095232|0.19839725|0.19371259|0.43281984|0.47279188|0.096838363|0.43164277|0.48200434|0.16692862
Barbados|0.524315|0.73458397|0.77224922|0.53600132|0.65229452|0.69379199|0.54295516|0.69637918|0.96436179|0.72675705|0.76499176|0.74735296|0.61421084|0.58367187|0.55009615|0.80696118|0.61655271|0.70477545|0.55063158|0.77003038|0.60595441|0.5625813|0.79012287|0.59042275|0.56392998|0.74555147|0.55477035|0.51637918|0.76632345|0.61668408|0.73574173|0.51620972|0.66135621|0.63038552|0.65354085|0.79075491|0.56594843|0.62305796|0.4985832|0.76176143|0.51673162|0.47887355|0.52169836
Belice|0.73957717|0.42151698|0.84131479|0.82767302|0.54593992|0.71981728|0.61226058|0.43281829|0.46017188|0.26032299|0.74678767|0.39154544|0.52104247|0.52943045|0.81854475|0.81596088|0.68106866|0.86651212|0.73954976|0.78915834|0.7609362|0.45769539|0.81000912|0.49331623|0.58790344|0.49440622|0.50009978|0.55563414|0.83661234|0.60742664|0.68873858|0.60587758|0.66451436|0.60508311|0.48352599|0.47872937|0.63282555|0.55313528|0.46559083|0.37835494|0.52590829|0.6533879|0.53004861
Benín|0.40747091|0.56798017|0.30156189|0.42278308|0.22257596|0.22588176|0.22912878|0.61934692|0.43368787|0.22180182|0.32257354|0.15746111|0.19885314|0.13695569|0.22220713|0.25934643|0.20819959|0.38642699|0.22388276|0.39065975|0.36260769|0.21734044|0.36381978|0.3535881|0.1617963|0.20359281|0.20962888|0.15048721|0.22921349|0.20125115|0.28334802|0.23396993|0.20543265|0.26965055|0.54427576|0.3994168|0.21752402|0.22666594|0.19967821|0.24058768|0.18831936|0.21045756|0.34453443
Bermudas|0.30696324|0.5336163|0.47058475|0.32824293|0.51640522|0.53420311|0.34093219|0.50812244|0.45144033|0.4664914|0.617513|0.57531202|0.47181654|0.44305319|0.44652969|0.57049263|0.45436496|0.94302917|0.46780774|0.65631276|0.50928658|0.39266151|0.35654032|0.42153636|0.49367863|0.55573201|0.35304838|0.53965557|0.52649736|0.50260442|0.49361122|0.28906053|0.5697403|0.69244766|0.30922091|0.58539033|0.40699267|0.33778131|0.32900074|0.50116086|0.33590311|0.42670023|0.3605921
Bielorrusia|0.48318285|0.69637656|0.64737177|0.34552217|0.69164211|0.63228858|0.62167132|0.45087534|0.24780929|0.63856983|0.6465652|0.4185074|0.74421906|0.61599278|0.70948917|0.28938276|0.60634685|0.44343802|0.59057701|0.44485551|0.73160666|0.66648823|0.5934357|0.59660113|0.79659307|0.6883204|0.62205911|0.3793194|0.28957421|0.66201961|0.62597215|0.75008136|0.48682517|0.51673365|0.64430904|0.44475579|0.67493528|0.68275499|0.62726629|0.67212439|0.43507993|0.67362058|0.32285729
Bolivia|0.1484247|0.26186475|0.37798196|0.72502291|0.41651475|0.55072296|0.52352417|0.25976241|0.12650715|0.10264431|0.26744071|0.15110692|0.52652377|0.17734392|0.43999416|0.60030562|0.50156921|0.33163843|0.23386431|0.21353453|0.52141637|0.53986335|0.49757609|0.46317154|0.26654831|0.22461852|0.38805398|0.28838235|0.24394658|0.46841353|0.36590248|0.54091394|0.27694908|0.23680621|0.16015895|0.27064848|0.49312794|0.48461676|0.55628729|0.22999686|0.47419211|0.3287074|0.45052707
Bosnia|0.56094795|0.54191625|0.72246265|0.56288862|0.63005668|0.69057596|0.57400799|0.50505048|0.67800486|0.79061246|0.73463035|0.84813792|0.84259415|0.66807878|0.71301961|0.41479015|0.75084853|0.47490832|0.73003983|0.71243989|0.67347944|0.60808468|0.69882393|0.609447|0.70219249|0.63848221|0.56100804|0.56047529|0.67322749|0.61995482|0.74667996|0.71361685|0.67256379|0.50382859|0.57818896|0.57804495|0.53940475|0.71421158|0.72162533|0.750525|0.4983573|0.75541794|0.6091066
Botsuana|0.35365087|0.32646278|0.48317158|0.41816518|0.3789292|0.47112626|0.45328248|0.3351633|0.72128564|0.53060913|0.61429238|0.28174871|0.36920631|0.29647803|0.50423342|0.45181206|0.48094922|0.36713666|0.4877677|0.41002005|0.42461902|0.40834826|0.45456153|0.44600296|0.43198091|0.45652109|0.43448067|0.33851478|0.49558711|0.31214893|0.39415371|0.45561421|0.47717386|0.40837324|0.4604553|0.36821294|0.33116296|0.35441506|0.36428016|0.28778547|0.32306987|0.33607846|0.51115888
Brasil|0.5011797|0.48887122|0.33654642|1.0|0.55526787|0.5434643|0.78795826|0.16592163|0.21327429|0.33064377|0.30664381|0.36744872|0.59429109|0.089421839|0.30263519|0.42873472|0.40590933|0.4903841|0.39817929|0.29735929|0.42805511|0.73107958|0.51093972|0.76401627|0.49686566|0.41916135|0.69220179|0.47226033|0.38626501|0.54578507|0.49928713|0.69224966|0.31437707|0.42761397|0.43082425|0.58143753|0.64836156|0.43585116|0.80879694|0.30049837|0.88330388|0.5578171|0.55154759
Brunéi|0.61361843|0.83356702|0.84604061|0.50771934|0.67760527|0.75079012|0.66190058|0.62565994|0.67468691|0.77171797|0.72866476|0.82288897|0.67404246|0.59299088|0.67306668|0.77377295|0.67784065|0.87353444|0.67181671|0.72025609|0.69538832|0.62600052|0.63581496|0.65191138|0.66571558|0.85738719|0.65800869|0.72867376|0.87258232|0.73312265|0.78277779|0.79514873|0.59075165|0.6116997|0.70915544|0.71942592|0.73627603|0.52042902|0.5233227|0.68353784|0.6465494|0.61472476|0.76292491
Bulgaria|0.53965968|0.5930773|0.64374661|0.74473971|0.63850963|0.62419641|0.62751102|0.59344327|0.71552736|0.6798501|0.72015643|0.65423584|0.76774561|0.65720171|0.69940078|0.48661804|0.63082218|0.94302917|0.61674941|0.72329783|0.64435828|0.56597853|0.58220702|0.69255567|0.63052678|0.67134953|0.66572213|0.63016188|0.77220887|0.65445489|0.66298985|0.68914932|0.60720658|0.5682283|0.57095528|0.67625391|0.54955202|0.68619597|0.69914997|0.82501078|0.64001316|0.66114688|0.69603109
Burkina Faso|0.10647448|0.23300964|0.27650219|0.29590818|0.13669898|0.20823896|0.33613127|0.10241672|0.24190044|0.28533393|0.25295678|0.095878527|0.12907252|0.39128175|0.15739568|0.30538434|0.1450896|0.2009362|0.17725483|0.10586678|0.49418271|0.24837026|0.42959344|0.38776475|0.097880319|0.088992707|0.22945234|0.11238189|0.23876238|0.10181738|0.25649318|0.35293233|0.14723215|0.16355634|0.1562829|0.081371658|0.13374554|0.19691169|0.18092819|0.13140757|0.27674887|0.13116309|0.27896029
Burundi|0.33216548|0.33018124|0.34185609|0.48584032|0.25899944|0.3321414|0.34482843|0.23580241|0.6234805|0.36087301|0.38365793|0.32863307|0.25252032|0.18347637|0.43074358|0.59285837|0.35460669|0.65905946|0.3152523|0.52335072|0.17506112|0.44055885|0.54171067|0.48596537|0.22972831|0.28229555|0.31430012|0.25003576|0.27394027|0.26324868|0.28039789|0.42222276|0.26953018|0.55093837|0.39059675|0.35062644|0.48813552|0.35778597|0.32229599|0.2445845|0.31968242|0.37125182|0.34105608
Bután|0.27323356|0.18438324|0.2055753|0.083670951|0.19407767|0.17378655|0.14772035|0.19988781|0.23867267|0.25724885|0.22061452|0.26433|0.14284424|0.12538242|0.1297126|0.1743606|0.15042154|0.18804374|0.12227657|0.1365252|0.18105477|0.18962511|0.21408223|0.12555559|0.20005855|0.1813866|0.28168368|0.13227147|0.39684883|0.21080545|0.18341784|0.24559748|0.33624032|0.31887165|0.17272273|0.1189813|0.18971115|0.1607338|0.12418306|0.35211372|0.11873952|0.30105889|0.21173075
Bélgica|0.7735213|0.72269177|0.66832662|0.6240679|0.76761633|0.68763065|0.80308211|0.75667739|0.60230553|0.78629088|0.67343092|0.60828161|0.86676186|0.87008417|0.64452428|0.82481802|0.57709825|0.8050884|0.55347782|0.75342083|0.6850841|0.78882706|0.85395968|0.89636266|0.69594306|0.70350718|0.61838114|0.65552175|0.79183495|0.76289821|0.6482271|0.74493146|0.77236062|0.77421325|0.84777343|0.68291509|0.82560265|0.77025056|0.74415958|0.59577006|0.89267015|0.69017798|0.73552001
Cabo Verde|0.55257595|0.47756201|0.58481884|0.38674912|0.5993135|0.56634748|0.43260294|0.77613592|0.68259346|0.54090416|0.68210268|0.55448508|0.44294742|0.70780802|0.39613366|0.51147062|0.49119818|0.80138147|0.40967453|0.78599989|0.47402054|0.50010747|0.59044093|0.39726552|0.55090386|0.68245709|0.43777478|0.33505046|0.78246856|0.4628728|0.61289966|0.41208619|0.6312086|0.45303309|0.5985471|0.45530289|0.5078733|0.38703144|0.37967646|0.68724561|0.41966933|0.40893805|0.51826888
Camboya|0.092886962|0.18972626|0.42336345|0.50080502|0.36182663|0.19388945|0.35666239|0.18209541|0.18639626|0.052704297|0.37004799|0.28881907|0.1322201|0.26728988|0.32679802|0.19043849|0.23276204|0.19809732|0.54245031|0.28411853|0.27674633|0.22055823|0.44542986|0.2664611|0.18832913|0.13482748|0.20681947|0.14691868|0.25551191|0.25909877|0.28645355|0.28292018|0.2731545|0.31036431|0.093756519|0.20854217|0.17226978|0.56789362|0.48013508|0.38948494|0.26111165|0.57319897|0.26856461
Camerún|0.12395377|0.24765053|0.1419428|0.24805972|0.2742165|0.20076685|0.12896791|0.10769104|0.15535054|0.061575048|0.18820029|0.056443181|0.055238128|0.06322296|0.29913792|0.19810213|0.068847977|0.12926701|0.24925086|0.12331135|0.088564508|0.097165965|0.17709096|0.1679474|0.11955933|0.068773344|0.1190381|0.10481926|0.1742388|0.15048589|0.17576909|0.15734702|0.18563184|0.05359992|0.22728437|0.055583507|0.13793837|0.17732483|0.14702682|0.10153498|0.12736951|0.25670269|0.28673205
Canadá|0.63308704|0.80627602|0.74697649|0.87479258|0.86967033|0.90935212|0.81848121|0.7178815|0.93781805|0.89669693|0.90177298|0.7384516|0.79913378|0.89619052|0.7440815|0.89208615|0.74264616|0.76948619|0.81757677|0.86426139|0.87612891|0.87922269|0.89257431|0.868891|0.7693516|0.92220652|0.83678204|0.78471327|0.63722837|0.89764547|0.87160528|0.94179696|0.74701643|0.8658663|0.67905414|0.88544714|0.89955056|0.67055237|0.83998966|0.67489696|0.82850462|0.87608552|0.87793684
Chad|0.19473083|0.22350717|0.35147038|0.27583331|0.25093374|0.21935943|0.30166852|0.25479218|0.29357728|0.21826074|0.24898037|0.29197827|0.31681311|0.17165379|0.4699918|0.29691553|0.26664171|0.58846331|0.37291926|0.261646|0.21899664|0.20740291|0.23828137|0.35854223|0.19163662|0.19441381|0.33294761|0.52757865|0.31285009|0.2040323|0.17929979|0.32326853|0.19050531|0.22454387|0.14965403|0.23701155|0.18508543|0.18614656|0.25212401|0.26018134|0.40858024|0.41214481|0.28995764
Chile|0.70543635|0.38755107|0.69558346|0.75888801|0.62135702|0.70985568|0.68579561|0.54474998|0.76123923|0.60132551|0.59242016|0.85926437|0.68534327|0.46110511|0.66719186|0.72163081|0.69299173|0.52818215|0.65126812|0.5338847|0.65172303|0.71857965|0.65928113|0.64663064|0.50592589|0.42564529|0.68485653|0.6405108|0.60996795|0.72861034|0.6168195|0.6115526|0.48142332|0.69673514|0.67230028|0.40800554|0.75659227|0.59524155|0.6808905|0.62727427|0.66744113|0.69394219|0.78094029
China|0.90143752|0.74597299|0.79684067|0.4594416|0.61810029|0.58818918|0.70307779|0.83121359|0.82793653|0.82411349|0.80100876|0.99646342|0.78372538|0.79572839|0.66272449|0.51759982|0.90642583|0.89421165|0.83130264|0.54173243|0.58272326|0.79394025|0.46983725|0.80744886|0.57720309|0.64877963|0.91735053|0.75161684|0.9556967|0.57936406|0.55285281|0.80262125|0.65518653|0.91216052|0.9623397|0.95534992|0.71702939|0.99412775|1.0|0.96770304|0.83922744|0.60276103|0.53639126
Chipre|0.58107275|0.7124759|0.92117858|0.6174174|0.78218341|0.80875617|0.61869878|0.79267299|0.78781676|0.66820157|0.86420357|0.68438697|0.7254433|0.60925835|0.78894114|0.84270591|0.78512168|0.59245211|0.64775723|0.88283306|0.89373243|0.73856711|0.69139522|0.63197654|0.74306047|0.72556269|0.58634782|0.70993733|0.79928738|0.76004672|0.78627241|0.58331794|0.78348398|0.77862549|0.77523899|0.64668393|0.75129181|0.64044219|0.57618523|0.72706932|0.62333584|0.70886827|0.86122334
Comoras|0.37627867|0.48458546|0.447308|0.27065891|0.40041|0.36083734|0.21462694|0.83899182|0.5767926|0.247917|0.51603031|0.59678662|0.42727694|0.43118167|0.44375962|0.34225821|0.36316818|0.6315012|0.31890768|0.39375114|0.33477932|0.26013499|0.27619886|0.23323593|0.21067138|0.41273648|0.28500295|0.19734006|0.65865624|0.25578833|0.40101808|0.23913753|0.51912165|0.41282022|0.51696885|0.63589394|0.27969152|0.21297449|0.1967192|0.33684236|0.20755166|0.26042825|0.46526754
Congo|0.2579065|0.45388198|0.20277233|0.13418737|0.14402026|0.13869612|0.13993594|0.68307245|0.11231167|0.072491758|0.23337838|0.45837712|0.16070916|0.24253978|0.11982245|0.24548602|0.29283068|0.18143876|0.15734161|0.3670485|0.24341053|0.1642375|0.20588787|0.15950109|0.13448848|0.15799358|0.15309335|0.096894279|0.25845978|0.15367036|0.22061345|0.21817297|0.10276179|0.13913995|0.21807322|0.48198909|0.14161262|0.16627604|0.11773439|0.603055|0.25381255|0.08759474|0.26066038
Corea del Sur|0.77980685|0.85300565|0.78504109|0.55202949|0.79911041|0.67200065|0.69132876|0.72220284|0.90321028|0.63213199|0.74090207|0.92577076|0.68245578|0.86119324|0.81337136|0.72437918|0.54053038|0.85574698|0.93124658|0.69940627|0.78202146|0.83551741|0.6226058|0.73904192|0.77248895|0.65922654|0.78363764|0.80748618|0.74759972|0.76813889|0.64268434|0.82430613|0.75803447|0.92180336|0.81301093|0.79997277|0.83611977|0.78665876|0.66184068|0.85210478|0.84769559|0.80678481|0.6687929
Costa Rica|0.3236765|0.4248496|0.4988513|0.68881094|0.53921127|0.66439992|0.46965596|0.38044065|0.25353169|0.35756862|0.46656168|0.50437081|0.55967927|0.52526289|0.57673633|0.59614301|0.62765265|0.46855938|0.47235656|0.57732612|0.38517874|0.63922989|0.75134766|0.58616424|0.44034582|0.43865514|0.5919264|0.5639053|0.34548283|0.59897375|0.63520455|0.54500067|0.52708828|0.51073217|0.62365901|0.5257538|0.57245082|0.74251658|0.68442094|0.55879843|0.57036257|0.52437383|0.42369902
Costa de Marfil|0.39586806|0.69142276|0.43919063|0.60993207|0.41335863|0.40244642|0.39202759|0.40787315|0.59159082|0.32385212|0.50420308|0.52701807|0.35217941|0.27674967|0.39249104|0.49021944|0.30029207|0.72776198|0.44185427|0.38044843|0.39732879|0.29690981|0.50391167|0.41518661|0.42916423|0.38926017|0.39480531|0.42338368|0.48269063|0.39352763|0.41240984|0.47394264|0.36164522|0.42228833|0.60958248|0.52276999|0.33825868|0.53177989|0.53993523|0.59879577|0.4696396|0.40494508|0.43488598
Croacia|0.12955289|0.17177719|0.13821883|0.14590302|0.14730853|0.12921454|0.12175785|0.14940839|0.1785365|0.2057327|0.16088299|0.20061392|0.16773948|0.18832046|0.14018634|0.16019978|0.13607214|0.63644987|0.18503769|0.17667128|0.16073959|0.14520121|0.12108249|0.13467748|0.20434949|0.16808912|0.14630644|0.17303093|0.15313929|0.15857184|0.13407125|0.14489989|0.16908488|0.20264468|0.12946637|0.19213676|0.17563853|0.14497258|0.13390128|0.18075822|0.15311584|0.14754142|0.16239212
Cuba|0.15915594|0.091071457|0.11904962|0.16736206|0.14117694|0.17709759|0.17204513|0.3911933|0.094492733|0.13833587|0.12372934|0.14754891|0.12529163|0.22623505|0.13404177|0.133672|0.19910562|0.33503038|0.11039223|0.25787607|0.10497227|0.17205027|0.19396453|0.1193972|0.12313269|0.17138867|0.1375445|0.18249378|0.27851892|0.11265803|0.19459714|0.17703493|0.090063177|0.12048337|0.19199201|0.10664044|0.14632681|0.18289049|0.15735507|0.19093116|0.1913754|0.09615235|0.1060826
Dinamarca|0.8138116|0.93445438|0.90949464|0.84376383|0.97363025|0.94711375|0.83153605|0.86237955|0.81634164|0.86833251|0.95161533|0.92008901|0.90126896|0.81990802|0.90298092|0.81873846|0.74563301|0.86067235|0.76206195|0.9143877|0.84895194|0.84582412|0.93753695|0.82936835|0.8744936|0.8948375|0.83246571|0.84292752|0.84585178|0.91080105|0.96681148|0.83228749|0.97801137|0.80115139|0.67578709|0.86885548|0.88742614|0.86878848|0.87245899|0.77291465|0.70168716|0.93688452|0.94617701
Dominica|0.4014771|0.41519299|0.43463448|0.43261278|0.52103281|0.48273414|0.37999302|0.68617833|0.53042692|0.19170028|0.57085097|0.34351146|0.33922565|0.42814922|0.36513942|0.58977342|0.34262997|0.55249476|0.41254967|0.57090569|0.31580207|0.38397825|0.41811129|0.32910097|0.39555103|0.37059397|0.36079663|0.44449925|0.49877155|0.36162001|0.56505424|0.37947541|0.58598244|0.34903505|0.25091136|0.41177097|0.32292369|0.38984329|0.42527843|0.6396184|0.40520847|0.33932343|0.50082111
