Subsector|Afganistán|Albania|Alemania|Andorra|Angola|Anguila|Antigua y Barbuda|Arabia Saudita|Argelia|Argentina|Armenia|Aruba|Australia|Austria|Azerbaiyán|Bahamas|Bahréin|Bangladesh|Barbados|Bielorrusia|Belice|Benín|Bermudas|Bhután|Bolivia|Bosnia|Botsuana|Brasil|Brunéi|Bulgaria|Burkina Faso|Burundi|Bélgica|Cabo Verde|Camboya|Camerún|Canadá|Caribe Nep|Chad|Chile|China|Chipre|Comoras|Congo|República Democratica del Congo|Corea, República Popular Democrática de|Corea del Sur|Costa Rica|Croacia|Cuba|Curaçao|Costa de Marfil|Dinamarca|Yibuti|Dominica|Ecuador|Egipto|El Salvador|Emiratos Árabes Unidos|Eritrea|Eslovaquia|Eslovenia|España|Estados Unidos Minor periferico Islas|Estados Unidos|Estonia|Eswatini|Etiopía|Fiyi|Filipinas|Finlandia|Francia|Gabón|Gambia|Georgia|Ghana|Granada|Grecia|Guatemala|Guinea|Guinea Ecuatorial|Guinea-Bisáu|Guyana|Haití|Honduras|Hong Kong|Hungría|India|Indonesia|Iraq|Irlanda|Irán|Islandia|Islas Caimanes|Islas Cocos (Keeling)|Islas Cook|Islas Marshall|Islas Salomon|Islas Wallis y Fortuna|Israel|Italia|Jamaica|Japón|Jordania|Kazajistán|Kenia|Kirguistán|Kiribati|Kuwait|Laos|Lesoto|Letonia|Liberia|Libia|Lituania|Luxemburgo|Líbano|Macao|República de Macedonia|Madagascar|Malasia|Malawi|Maldivas|Malta|Malí|Marruecos|Mauricio|Mauritania|Micronesia, Estados Federados de|Moldavia|Mongolia|Montenegro|Montserrat|Mozambique|Myanmar|México|Namibia|Nauru|Nepal|Nicaragua|Nigeria|Noruega|Nueva Zelanda|Níger|Omán|Pakistán|Palau|Palestina, Estado de|Panamá|Papua Nueva Guinea|Paraguay|Países Bajos|Perú|Polinesia Francesa|Polonia|Portugal|Qatar|Reino Unido|República Centroafricana|República Checa|República Dominicana|Siria|Ruanda|Rumania|Rusia|San Cristóbal Y Nieves|Samoa|San Martin (parte Holandesa)|San Pedro y Miquelón|San Vicente y las Granadinas|Santa Lucia|Santo Tome y Principe|Senegal|Serbia|Seychelles|Sierra Leona|Singapur|Somalia|Sri Lanka|Sudáfrica|Sudán|Suecia|Suiza|Surinam|Tailandia|Taiwán|Tanzania|Tayikistán|Timor-Leste|Togo|Tokelau|Tonga|Trinidad y Tobago|Turkmenistán|Turquía|Tuvalu|Túnez|Ucrania|Uganda|Uruguay|Uzbekistán|Vanuatu|Venezuela|Vietnam|Yemen|Zambia|Zimbabue
Cables y redes|0.32707807|0.30012825|0.085171685|0.60699636|0.37189662|0.43797109|0.27430123|0.19792306|0.19981751|0.4464049|0.29997969|0.12916622|0.16094059|0.28702211|0.23033389|0.23800644|0.25038779|0.33131304|0.2118853|0.30216953|0.22592588|0.33931163|0.27778071|0.68066186|0.16019037|0.27142823|0.2790564|0.13225745|0.3568632|0.28666654|0.3114576|0.32689363|0.18683691|0.31743136|0.29735857|0.32438523|0.14428993|0.9043709|0.4331618|0.33854729|0.19586881|0.2620993|0.39871567|0.37842965|0.2837956|0.55246103|0.20011403|0.13735586|0.2768923|0.20463969|0.21332309|0.21429092|0.26731479|0.34577203|0.34400737|0.12720506|0.29325706|0.14070447|0.17542282|0.80756819|0.37658519|0.26338843|0.13339821|0.53741163|0.09948419|0.28453445|0.25643003|0.22583362|0.26430482|0.27082691|0.29013944|0.1602678|0.29863986|0.46401078|0.30455706|0.23802987|0.29963219|0.23679516|0.10908712|0.33418667|0.30943504|0.4325099|0.20669821|0.23529699|0.15956262|0.19977289|0.22914135|0.25361884|0.55901444|0.48654008|0.20284769|0.43714792|0.23352435|0.30293927|0.9043709|0.72754502|0.90616894|0.40160343|0.78179365|0.21947406|0.16729888|0.17816122|0.19767144|0.22355393|0.17943507|0.30016178|0.33654678|0.78943253|0.1995056|0.28857768|0.56428427|0.23954724|0.39494127|0.23351672|0.30272287|0.33770072|0.20906723|0.3738609|0.29425922|0.302578|0.32237309|0.32802799|0.30644223|0.24050051|0.31098923|0.32327706|0.33417803|0.35590261|0.46930027|0.32326296|0.24692604|0.20969847|0.55705911|0.2010351|0.25605062|0.44463283|0.29790056|0.78666663|0.27961794|0.1750236|0.51722968|0.2345452|0.17732617|0.33322307|0.20280257|0.35072303|0.75152254|0.39537615|0.28328392|0.288923|0.17264488|0.16202505|0.41607994|0.30161071|0.16636826|0.17968243|0.20449018|0.35682827|0.5633046|0.18278098|0.098480627|0.4312939|0.32021108|0.17547065|0.15177843|0.3452065|0.35122102|0.9043709|0.72358668|0.31917036|0.28718036|0.35725331|0.24603826|0.23770472|0.27840102|0.31007135|0.17607924|0.51703483|0.2836118|0.19559906|0.49942505|0.16976452|0.14419313|0.28554201|0.20247971|0.1796865|0.28954625|0.33990622|0.36659729|0.3479721|0.9043709|0.39482224|0.15569094|0.52099526|0.27967975|0.80126911|0.25018567|0.23593417|0.28320861|0.22650707|0.44821918|0.41865653|0.14056894|0.27829018|0.32132661|0.31288394|0.28331262
Cacao|0.26631379|0.19685057|0.80968404|0.41145694|0.24856108|0.2873044|0.24535671|0.17269824|0.1863225|0.86942625|0.59258467|0.073522247|0.65101862|0.45903453|0.21224746|0.40480632|0.23873912|0.24161842|0.17006937|0.57354718|0.20392539|0.27070165|0.24774283|0.50036275|0.26941833|0.24006848|0.17338887|0.28531814|0.30617666|0.482016|0.18769453|0.18674693|0.79421115|0.15196438|0.49293274|0.18654069|0.69937623|0.64439881|0.36957043|0.35376537|0.33629322|0.1787096|0.35205045|0.33725631|0.25650951|0.39786005|0.68086678|0.24014002|0.48617038|0.17409626|0.13452591|0.41053823|0.48160642|0.2192485|0.31013811|0.29088798|0.16808471|0.11491808|0.30262104|0.57957673|0.75789559|0.23271583|0.79482436|0.36921057|0.39163885|0.81106007|0.2293334|0.13402992|0.23726216|0.47231358|0.50524646|0.66833448|0.21325731|0.65698087|0.27237314|0.48819238|0.27422646|0.41877061|0.31922156|0.27201942|0.2482242|0.24611762|0.12492824|0.16502583|0.27755556|0.15963028|0.46471956|0.57725626|0.95900643|0.32734454|0.4346199|0.58879977|0.19676837|0.17590776|0.64439881|0.48666435|0.65766686|0.59502262|0.56018722|0.429501|0.79854727|0.16629426|0.70936692|0.17827205|0.51671958|0.13449374|0.23275325|0.55047977|0.38949746|0.23836893|0.39625001|0.19474056|0.35557896|0.16688398|0.71709144|0.55166042|0.20035782|0.22564648|0.22662598|0.25986901|0.8993243|0.15209162|0.18028682|0.49401951|0.60811758|0.23510465|0.20633417|0.21819174|0.30318952|0.27036285|0.15838015|0.1991179|0.37583417|0.51684982|0.16607049|0.88005006|0.21108566|0.54340386|0.12828113|0.15534303|0.35848898|0.42593545|0.42075568|0.30728784|0.12320063|0.21251082|0.55992049|0.23837449|0.20458895|0.45462704|0.14359836|0.73017788|0.46160269|0.18002295|0.71772379|0.12500738|0.17412347|0.75360197|0.47378683|0.79242104|0.19321455|0.18541288|0.19844414|0.3845737|0.81981838|0.20735706|0.31803417|0.64439881|0.93027556|0.29978541|0.25454733|0.31745446|0.51420981|0.54360795|0.17808954|0.53086936|0.78978848|0.33386803|0.40129456|0.41975155|0.32741821|0.3868039|0.63731623|0.15795448|0.40387607|0.55895579|0.18291666|0.19881703|0.21070808|0.59459096|0.64439881|0.24170347|0.14345981|0.34351385|0.46945292|0.57294345|0.12376743|0.47178388|0.17878029|0.51283485|0.62541586|0.32819691|0.11270925|0.41629606|0.18548474|0.20845176|0.14604995
Café verde|0.5912081|0.74746925|1.0|0.20040421|0.29244113|0.11577751|0.40032613|1.0|0.82861507|0.8053053|0.68780422|0.49897662|1.0|0.84493393|0.47313032|0.51151693|0.91129464|0.42119393|0.29915226|0.57598364|0.35358828|0.56951195|0.55852252|0.75447708|0.26941833|0.55574042|0.59597623|0.16680254|0.52778137|0.79844689|0.58778763|0.50481057|0.95705569|0.52634382|0.78235382|0.43500847|1.0|0.35193357|0.12437555|0.74302113|1.0|1.0|0.59704548|0.69697332|0.59490502|0.18746901|1.0|0.25661036|0.87746191|0.34657583|0.33769512|0.39789325|0.99588764|0.54028195|0.41311443|0.33739769|0.88767755|0.19190711|0.97067297|0.36774606|0.58359981|0.82565558|0.94038522|0.20355389|0.85533512|1.0|1.0|0.39868796|0.47658208|0.91757309|0.96350551|1.0|0.050465368|0.64473712|1.0|0.47390449|0.42922038|0.94240487|0.16486475|0.58264315|0.49296239|0.57107687|0.30759901|0.3301281|0.1188518|0.89216948|0.46471956|0.70990443|0.87364638|0.7632401|1.0|0.95100403|1.0|0.52239865|0.35193357|1.0|0.37351826|0.59502262|1.0|1.0|0.88814962|0.86058909|0.91983497|0.8368172|0.52263427|0.61576146|0.71782929|0.29554981|0.83793092|0.3512398|1.0|0.93077737|0.63569111|0.87653667|0.9154048|0.55166042|0.75195062|0.95038128|0.53796673|0.46753007|0.91043478|0.52583385|0.58362186|0.49401951|0.75117576|0.82711518|0.56988043|0.52605444|0.12912053|0.51444769|0.51311028|0.51207888|0.17213795|0.37949586|0.48994389|0.73238349|0.56569183|0.95708323|0.4257721|0.27296314|0.17821264|1.0|1.0|0.58241695|0.74545699|0.55622882|0.31284115|0.61992019|0.26207188|0.41643476|0.2892797|0.79794252|0.57611036|1.0|0.80784786|0.91134095|0.90367216|0.88973129|0.72307754|0.72818732|0.54163074|1.0|0.5062995|1.0|0.90024388|0.50684226|0.60010397|0.35193357|0.96906942|0.46472746|0.41426221|0.52488017|0.49756366|0.77062857|0.43429196|0.54750639|1.0|0.14076917|0.31728446|1.0|0.5953446|1.0|0.8585608|0.36420834|0.67397451|1.0|0.4147462|0.10899022|0.58872038|0.58027744|0.35193357|0.1000403|0.24676581|0.15243521|1.0|0.30299708|0.83688766|0.85859621|0.40558195|0.79243255|0.47593868|0.52783537|0.25007671|0.79268521|0.45110697|0.44438717|0.37035042
Calcetería|0.23701918|0.2531279|0.25097078|0.35664493|0.68688208|0.2555787|0.21704054|0.1649286|0.15895826|0.54031932|0.2253128|0.48670879|0.52234685|0.22092865|0.20504585|0.19891803|0.22860038|0.043161251|0.44144347|0.20652565|0.12969778|0.1444231|0.085014343|0.52070314|0.49585551|0.059991755|0.78688931|0.34831932|0.2398566|0.055607889|0.19508806|0.18089397|0.12127806|0.17061886|0.057550393|0.16001245|0.68610704|0.57619256|0.24456066|0.44776908|0.63086921|0.16626126|0.22963592|0.25665143|0.20220242|0.17847627|0.47498894|0.52659428|0.035307411|0.13002139|0.55418938|0.13702855|0.20691741|0.25626671|0.21078449|0.25523451|0.063970901|0.35456973|0.12669787|0.5505408|0.28940147|0.086493403|0.34077686|0.090911396|0.50513989|0.079485871|0.18575943|0.16815436|0.15558608|0.05302915|0.23618907|0.57875252|0.14875832|0.27041897|0.25046128|0.15944435|0.21708968|0.16630739|0.32629001|0.20182505|0.17003649|0.20354003|0.14649045|0.5495345|0.40058279|0.68770969|0.19017357|0.47201362|0.17720453|0.28789583|0.17070253|0.20667981|0.18251088|0.16078803|0.57619256|0.50401461|0.59297973|0.26933938|0.51805121|0.11183348|0.212942|0.15841335|0.62315726|0.044080347|0.14132386|0.16223924|0.29527843|0.48636866|0.17061859|0.21073207|0.46136457|0.048339151|0.26981282|0.15441144|0.068660043|0.23627348|0.17624235|0.29817405|0.21440598|0.10549153|0.64197117|0.17613575|0.2033471|0.18328811|0.18413934|0.066199832|0.25648487|0.2448405|0.26304001|0.24634638|0.21127507|0.16848256|0.32711965|0.14772597|0.035155527|0.48713946|0.16634418|0.49628204|0.1927914|0.14111264|0.32236126|0.17928518|0.13146201|0.2161867|0.16506502|0.05910527|0.56659794|0.24544567|0.32579288|0.1741609|0.49700284|0.65537184|0.28384691|0.19490449|0.11052212|0.11944613|0.56620336|0.43874303|0.3124038|0.12673354|0.38657749|0.20760933|0.21334596|0.11663757|0.024280932|0.21106824|0.23405741|0.57619256|0.47288686|0.2508364|0.1541004|0.18649602|0.11556268|0.13555822|0.18580154|0.1397796|0.48568031|0.28818294|0.15818861|0.10103715|0.29394087|0.12052672|0.020203151|0.17359115|0.53921938|0.47335535|0.15780212|0.25225845|0.23819923|0.2013251|0.57619256|0.23438284|0.5773015|0.29519266|0.059329517|0.53512156|0.15944535|0.18602608|0.15936278|0.61736679|0.20757902|0.24509525|0.30904651|0.059903987|0.23428789|0.19410016|0.15559317
Calzado|0.39579523|0.09186092|0.39100659|0.38029289|0.63366723|0.73875606|0.71181118|0.20418954|0.21102968|0.6718747|0.32561046|0.77368277|0.45562512|0.14648104|0.26551867|0.84718001|0.31933376|0.04794509|0.64779222|0.28377876|0.75270927|0.28339574|0.37229759|0.66402006|0.76036954|0.0|0.88068438|0.46254128|0.39697161|0.090828404|0.37697548|0.30932328|0.6332714|0.27311409|0.0|0.24666741|0.54334986|0.60674578|0.16853288|0.64938188|0.29736048|0.2560471|0.4593088|0.43255213|0.31498811|0.37098739|0.045041792|0.79818135|0.058770664|0.72918069|0.67669153|0.50253713|0.19542652|0.33138698|0.76880717|0.73895645|0.094928101|0.66421229|0.49045825|0.66152495|0.20838237|0.1613189|0.57455808|0.054341692|0.56130701|0.12289804|0.27415025|0.042677946|0.28176323|0.57434201|0.1430511|0.48888952|0.24812713|0.44198665|0.3591136|0.23064406|0.86302853|0.021890689|0.73493207|0.3366521|0.26141983|0.29798335|0.57278001|0.55194807|0.72437739|0.5740732|0.090339854|0.060576137|0.054002717|0.30412245|0.25032556|0.26983172|0.13152432|0.60888219|0.60674578|0.62599397|0.62293047|0.36563495|0.58893073|0.68795866|0.56227791|0.57394201|0.49648649|0.20906156|0.21345559|0.21959929|0.44839352|0.58074886|0.59702981|0.13106935|0.58419275|0.57029158|0.38261849|0.32849982|0.14763588|0.33241421|0.093025893|0.35365292|0.092571333|0.31913581|0.20971596|0.30715555|0.38152993|0.28995571|0.29141|0.097638935|0.74800897|0.34292635|0.35796449|0.11842613|0.32053876|0.26951659|0.36543539|0.21061146|0.0085911481|0.73727667|0.24852179|0.68199253|0.2506502|0.74021041|0.3378239|0.53166163|0.54898864|0.34734032|0.094536409|0.11926724|0.57634228|0.30675894|0.68846834|0.33179891|0.61387759|0.55293643|0.51652181|0.34057745|0.16028617|0.056281269|0.23660438|0.63364887|0.44323623|0.17793654|0.62466967|0.31654271|0.3586683|0.16821066|0.45047018|0.80440879|0.32293767|0.60674578|0.62568533|0.78471923|0.73839206|0.3006725|0.23652455|0.18684834|0.045792799|0.33251455|0.45667797|0.30967671|0.25592065|0.53470623|0.31023955|0.18597554|0.58350635|0.50081033|0.04501364|0.16693315|0.23059681|0.34240413|0.38019514|0.36467785|0.60674578|0.30453825|0.48824167|0.31690627|0.14168628|0.6031878|0.19456476|0.084522761|0.22931565|1.0|0.27869326|0.14791416|0.85582674|0.0045785382|0.36474732|0.24163896|0.2440106
Camarones, crustáceos, langostinos y moluscos|0.23219925|0.21885906|0.12262649|0.44572806|0.22129303|0.33257523|0.21102756|0.15500256|0.14665309|0.10413019|0.20674095|0.64155686|0.013047306|0.20379849|0.19546589|0.18922514|0.21104836|0.20769066|0.14359294|0.18776774|0.16208318|0.21183035|0.21448256|0.54195517|0.13377336|0.2036179|0.2046155|0.12997273|0.26709494|0.20581448|0.21462905|0.22475317|0.73188657|0.20575155|0.24006921|0.1671987|0.52899832|0.68881321|0.32885385|0.19905064|0.47210801|0.14652787|0.27986431|0.28467089|0.21205771|0.4263863|0.72622722|0.17984018|0.17438205|0.088722616|0.29344648|0.13943823|0.18931402|0.24387035|0.24844278|0.23229849|0.1974754|0.10423046|0.53606993|0.64777058|0.26597202|0.20168626|0.66839027|0.39806497|0.37562519|0.21346664|0.19086182|0.17514074|0.18846382|0.062958091|0.21883759|0.89184177|0.17380476|0.31629038|0.23358455|0.14745165|0.22872382|0.15845849|0.060342796|0.21438199|0.21336877|0.28861132|0.15730897|0.14251292|0.42847097|0.77455199|0.17291325|0.098673597|0.34090966|0.35321695|0.061227124|0.21408203|0.17245355|0.21284391|0.68881321|0.58453357|0.70119673|0.30251396|0.64588404|0.1660067|0.73091692|0.14163443|0.69726628|0.14971761|0.12037971|0.15978175|0.25950453|0.61376745|0.16041395|0.20117038|0.424658|0.16116995|0.3099795|0.19387364|0.20210502|0.22550797|0.15937811|0.28848016|0.20235023|0.22155194|0.22679797|0.19662291|0.22496811|0.16573071|0.2099902|0.21472238|0.2341685|0.10506143|0.3455264|0.23213966|0.19175322|0.16608179|0.4155941|0.13808696|0.056072935|0.055830445|0.17559621|0.62123424|0.16891691|0.13596407|0.38424265|0.1664301|0.015951464|0.24258696|0.15014623|0.24878594|0.62883317|0.27035561|0.19419841|0.1980519|0.12597808|0.10668613|0.3050738|0.22368968|0.10491241|0.65995896|0.15290385|0.32892221|0.42397738|0.11391327|0.07723397|0.23729289|0.22055365|0.10620137|0.10568577|0.25731933|0.26380721|0.68881321|0.56902015|0.24368925|0.20957884|0.25973785|0.14441009|0.1306732|0.23061164|0.19517975|0.0034912582|0.36497143|0.14520966|0.11586539|0.35917854|0.11027767|0.091139078|0.18874499|0.6602062|0.65400666|0.14261855|0.21437202|0.27089545|0.2351229|0.68881321|0.30933288|0.12436224|0.3727991|0.2104308|0.63984013|0.15198591|0.18118528|0.14910531|0.07527332|0.23619024|0.29154453|0.30054063|0.39205199|0.21484733|0.18012106|0.2080217
Camisas|0.3187615|0.23443085|0.45425683|0.32118988|0.72465038|0.69386739|0.75224054|0.50637186|0.25259796|0.79993463|0.20913631|0.60280287|0.63576955|0.080575988|0.32000723|0.7682147|0.74680173|0.0|0.69758445|0.16654348|0.30083334|0.25042081|0.7898404|0.54495376|0.73772526|0.1468306|0.79160541|0.60392678|0.42154104|0.15721563|0.22681183|0.26249233|0.39302525|0.23813564|0.72526681|0.048707295|0.52014047|0.5304051|0.24159524|0.55674756|0.51564509|0.3087413|0.33205611|0.37036386|0.31498811|0.32153672|0.6510399|0.88461065|0.20801379|0.65924799|0.49064255|0.23896645|0.6416412|0.31934828|0.62917864|0.64962584|0.10461167|0.44741058|0.78068936|0.57494086|0.29875302|0.35426173|0.44822812|0.1833111|0.59867203|0.69629687|0.24040216|0.051649321|0.23492377|0.098822251|0.83192265|0.6519711|0.11854199|0.24785981|0.25504929|0.26494977|0.79742396|0.64576423|0.67674434|0.34892172|0.25903279|0.30500633|0.61183292|0.72133613|0.60912943|0.70442307|0.59031659|0.48595566|0.57173038|0.26089394|0.27602106|0.24553268|0.32624277|0.78187907|0.5304051|0.63674486|0.54809386|0.3304328|0.56658673|0.64594096|0.68923998|0.75052172|0.79232407|0.11817099|0.26348835|0.096487135|0.39308789|0.54382432|0.80207682|0.10191293|0.14566703|0.65034437|0.36514556|0.39682299|0.62774539|0.38024828|0.65786505|0.34161103|0.10952379|0.067165367|0.69745111|0.27636111|0.7037282|0.21215332|0.56601673|0.026349977|0.51493889|0.069955677|0.27821121|0.14234804|0.39129475|0.32351181|0.29173893|0.25895959|0.65478355|0.67226529|0.22500443|0.65133727|0.099912345|0.64151752|0.29116869|0.56205654|0.5464974|0.12232061|0.29064217|0.15816411|0.60611278|0.34309042|0.64855516|0.29366347|0.58280975|0.56585664|0.60251856|0.16265787|0.50989604|0.56224078|0.72548258|0.59775245|0.32771474|0.5851711|0.48269224|0.22495511|0.29376546|0.22067186|0.72612882|0.69413424|0.32787251|0.5304051|0.47627068|0.69652951|0.75150144|0.23803493|0.19786602|0.2036875|0.80690622|0.22137815|0.69643015|0.25595081|0.39516374|0.50897557|0.25359154|0.70834351|0.62701619|0.53703755|0.68331885|0.5121935|0.28299484|0.33492476|0.28822932|0.27584702|0.5304051|0.34315041|0.55681294|0.26263157|0.47716212|0.60984063|0.22487043|0.27099839|0.26885128|0.70800442|0.26920441|0.33304247|0.69651067|0.65267462|0.37432605|0.3105118|0.18207884
Carnes y despojos comestibles (avícola)|0.054729301|0.03316953|0.037100572|0.093669765|0.095105469|0.056517094|0.043735463|0.043493234|0.018109007|0.069961533|0.062088944|0.0085320352|0.019634992|0.052740313|0.064960621|0.073471174|0.087742217|0.026045758|0.0067163543|0.05040931|0.0073286733|0.01442989|0.06096426|0.27132964|0.022138836|0.044862047|0.06927862|0.047251198|0.12331866|0.050006129|0.047859419|0.038962584|0.03892247|0.040443972|0.048261549|0.014323905|0.022233903|0.19523509|0.066340521|0.0|0.37192824|0.008785937|0.074804164|0.10853454|0.082009472|0.081338853|0.03625948|0.035970084|0.032850195|0.033458795|0.016162982|0.021303592|0.052459326|0.076598689|0.047579341|0.016535386|0.046106938|0.017262733|0.5624885|0.26696181|0.11397848|0.053972371|0.024099145|0.10201828|0.078775845|0.057185445|0.026673198|0.0052222977|0.047397662|0.055581599|0.044784468|0.036353495|0.01876983|0.10687578|0.085695155|0.03628844|0.048508026|0.024607092|0.0091247661|0.059758686|0.012061004|0.06399294|0.012996931|0.010957164|0.032078985|0.64925182|0.036242671|0.05659572|0.14726403|0.079053298|0.034175023|0.06978415|0.035642445|0.0086489636|0.19523509|0.20420417|0.21696857|0.081895314|0.2322825|0.036820002|0.031891122|0.016551908|0.041835766|0.019740554|0.011497034|0.020667277|0.093683377|0.20902926|0.051815685|0.047609761|0.21315038|0.033361319|0.10410933|0.049210995|0.063692592|0.082472205|0.040130768|0.06072725|0.045785833|0.064125076|0.067905486|0.016124979|0.064789332|0.018517401|0.070869043|0.048546407|0.086796068|0.053997681|0.070133895|0.087409787|0.045158591|0.038181487|0.096705459|0.0056675626|0.026451394|0.04909363|0.042917818|0.22041133|0.011863992|0.026474182|0.080136485|0.041344862|0.013277723|0.061447553|0.016729673|0.061539643|0.22553936|0.054077324|0.048115496|0.045432221|0.0043112049|0.025223605|0.0045272512|0.060833663|0.0055035949|0.011676928|0.046928003|0.0062216064|0.10735621|0.0094478875|0.0098286774|0.064785339|0.050246049|0.0076076593|0.013412545|0.016058953|0.064468563|0.19523509|0.20703219|0.051089182|0.016602073|0.057538811|0.0070404178|0.0090390882|0.06565921|0.0051825317|0.0081232898|0.052960861|0.010292131|0.0075826645|0.050024591|0.0085791294|0.0036586714|0.032884985|0.0|0.011696002|0.0050234511|0.066900529|0.063374035|0.048509173|0.19523509|0.052185252|0.0054142997|0.056506407|0.068103947|0.2102603|0.015788186|0.026340701|0.011023186|0.040909063|0.084662177|0.068052448|0.072785467|0.70364445|0.049311485|0.062909424|0.022192426
Carnes y despojos comestibles (bovino)|0.07907337|0.048250809|0.074395046|0.093669765|0.64479977|0.091913253|0.06822256|0.8989042|0.047269665|0.057617005|0.10929278|0.060063869|0.06188038|0.11370772|0.13407364|0.13621044|0.15540865|0.064825177|0.049627215|0.11769351|0.01774792|0.018329522|0.082713582|0.28872913|0.019717967|0.123624|0.10725783|0.087286063|0.15434165|0.11316412|0.055823214|0.041548643|0.084627181|0.064852946|0.072547287|0.064151339|0.22636652|0.19523509|0.093768239|0.34554046|0.26953912|0.068516158|0.13443895|0.79268879|0.8121444|0.081338853|0.52492034|0.063827887|0.08866743|0.051694095|0.68531561|0.68141067|0.11583392|0.096915975|0.079546876|0.13071194|0.83409727|0.049991556|0.93155515|0.29725727|0.15113641|0.12479615|0.055323608|0.10201828|0.10187583|0.13048518|0.076957703|0.03568083|0.050871603|0.11234415|0.12291425|0.077222303|0.56463581|0.14409719|0.79443932|0.085146293|0.080501243|0.076274998|0.045613542|0.11082347|0.58267194|0.0753562|0.020750031|0.015725287|0.060961343|0.96253741|0.10257751|0.10760463|0.14726403|0.71731532|0.081111163|0.85041749|0.059924975|0.055628553|0.19523509|0.26576573|0.21696857|0.094159842|0.27425683|0.076660909|0.076224878|0.095154591|0.099049434|1.0|0.061722942|0.045394827|0.11434086|0.20548391|0.66139007|0.065849319|0.33693063|0.096674129|0.98355794|1.0|0.12553237|0.13927251|1.0|0.1238226|0.13078126|0.07740771|0.14879183|0.013037812|0.11106889|0.59089226|0.094315678|0.078508198|0.17129302|0.049121622|0.078308664|0.1209932|0.042647444|0.058962099|0.085307807|0.068971835|1.0|0.10128973|0.10351142|0.23919657|0.021616412|0.075879559|0.080136485|0.08557827|0.07128308|0.079858355|0.059066318|0.14227174|0.26169974|0.076142356|0.048115496|0.092681304|0.033336014|0.058579482|0.22744431|0.14065555|0.043080714|0.051568698|0.50452751|0.042373255|0.15160613|0.051026992|0.027214538|0.073396318|0.057626329|0.049066927|1.0|0.068448566|0.085473709|0.19523509|0.29696643|0.085786611|0.055826232|0.067636453|0.042946495|0.061283909|0.08882127|0.76148874|0.062835626|0.052960861|0.032104041|0.054491527|0.061898552|0.054457329|0.016906299|0.036052898|0.068130061|0.063028805|0.031679831|0.074002527|0.075764574|0.057305302|0.19523509|0.058739692|0.046151184|0.056506407|0.4319036|0.21955664|0.028530385|0.098964334|0.016467586|0.020795243|0.12368566|0.10129352|0.028215447|0.90323013|0.053132202|0.067672834|0.027232349
Carnes y despojos comestibles (otros)|0.043844335|0.019653929|0.029027145|0.093669765|0.086279869|0.042060491|0.036644559|0.03479005|0.0084789237|0.049761143|0.054333095|0.0|0.0074935788|0.042557105|0.059673455|0.067347676|0.077944905|0.028690647|0.0025072882|0.04087035|0.0|0.0079380153|0.044961095|0.25480616|0.014142299|0.036048375|0.057481028|0.041318715|0.10996453|0.035542954|0.043012194|0.034210324|0.0|0.034460522|0.029885951|0.0059037944|0.027080521|0.19523509|0.060240958|0.0024773884|0.010212682|0.0|0.071059085|0.093980849|0.075261094|0.081338853|0.029025108|0.025643004|0.024964511|0.022434115|0.56035429|0.014251082|0.041432627|0.071107939|0.040012002|0.011085249|0.037427582|0.0093237432|0.016043803|0.25843331|0.097381912|0.038249556|0.015237097|0.10201828|0.025929339|0.046836551|0.016396651|0.0|0.035734747|0.033490282|0.036244124|0.027881086|0.0092408247|0.099182159|0.078119203|0.029888231|0.041324496|0.012413606|0.0|0.050543603|0.0025881247|0.054075915|0.010276337|0.0|0.023421576|0.82815295|0.0220703|0.049081154|0.14726403|0.079053298|0.026902623|0.061097965|0.029473368|0.0|0.19523509|0.18794453|0.21696857|0.066009544|0.21994135|0.025451984|0.025189226|0.012983377|0.035209008|0.0090521509|0.0064015202|0.012180655|0.082851887|0.17309062|0.04226961|0.041707434|0.19494051|0.025836026|0.085048139|0.041618351|0.055918686|0.076457091|0.032769863|0.048991252|0.034809113|0.061074954|0.054317262|0.0032933543|0.047412563|0.0070592929|0.063514546|0.038494516|0.075224094|0.044279587|0.058689214|0.079547852|0.038798958|0.031649034|0.076889828|0.0|0.016653106|0.039895557|0.034764033|0.19451302|0.011863992|0.017056277|0.080136485|0.034729946|0.00261332|0.055162888|0.0080491388|0.049500052|0.20089909|0.049580205|0.048115496|0.040162411|0.0|0.0|0.0|0.051250443|0.0|0.0061187693|0.03782475|0.0|0.091822565|0.0031833029|0.0|0.05635462|0.042218637|0.0022102667|0.0075239213|0.0051877424|0.053096902|0.19523509|0.16987868|0.042704642|0.0047489638|0.044289161|0.0|0.0|0.051211759|0.0|0.0|0.052960861|0.0|0.0|0.050024591|0.0|0.0|0.027134161|0.020864334|0.0069657192|0.0|0.05753627|0.051648088|0.043306921|0.19523509|0.043391243|0.0|0.056506407|0.053174004|0.1902761|0.010654438|0.017596295|0.0035839458|0.034671538|0.077672631|0.053331953|0.019599749|0.87355095|0.045540985|0.057384603|0.019168701
